Game,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,2000000,0,130000,1000000,150000
Top Gun: Combat Zones,GC,2002,Simulation,Titus,120000,3000000,0,0,150000
J-League Victory Goal,SAT,1995,Sports,Sega,0,0,150000,0,150000
Bakugan Battle Brawlers: Defenders of the Core,PSP,2010,Action,Activision,9000000,4000000,0,3000000,150000
Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,0,0,150000,0,150000
White Knight Chronicles: Origins,PSP,2011,Role-Playing,Sony Computer Entertainment,0,4000000,9000000,2000000,150000
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,4000000,0,100000,1000000,150000
Spongebob Squarepants / Fairly Odd Parents Double Pack,GBA,2005,Action,THQ,110000,4000000,0,0,150000
History Civil War: Secret Missions,PS2,2008,Shooter,Activision,7000000,6000000,0,2000000,150000
NHL 09,PS2,2008,Sports,Electronic Arts,7000000,6000000,0,2000000,150000
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,8000000,5000000,0,2000000,150000
Derby Stallion 64,N64,2001,Sports,Media Factory,0,0,150000,0,150000
Doraemon 3: Nobi Dai no Machi SOS!,N64,2000,Platform,Epoch,0,0,9000000,6000000,150000
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,120000,3000000,0,0,150000
Dark Rift,N64,1997,Fighting,Vic Tokai,120000,3000000,0,0,150000
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0,0,150000,0,150000
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,120000,3000000,0,0,150000
Burger Island,Wii,2009,Action,Destineer,140000,0,0,1000000,150000
Petz: Dogz Talent Show,DS,2009,Simulation,Ubisoft,140000,0,0,1000000,150000
T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,8000000,6000000,0,1000000,150000
Rocky,XB,2002,Fighting,Rage Software,110000,3000000,0,1000000,150000
Ford Racing 2,XB,2003,Racing,Empire Interactive,110000,3000000,0,1000000,150000
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,2000000,3000000,8000000,2000000,150000
Sam & Max: Season One,Wii,2008,Adventure,JoWood Productions,130000,1000000,0,1000000,150000
Virtua Tennis 4,Wii,2011,Sports,Sega,5000000,8000000,0,2000000,150000
Tetris Attack,SNES,1995,Puzzle,Nintendo,0,0,150000,0,150000
Candace Kane's Candy Factory,Wii,2008,Action,Destineer,140000,0,0,1000000,150000
BloodRayne 2,XB,2004,Shooter,THQ,110000,3000000,0,1000000,150000
Hot Wheels: Beat That!,Wii,2007,Racing,Activision,130000,0,0,1000000,150000
Soldier of Fortune: Payback,PS3,2007,Shooter,Activision,120000,2000000,0,1000000,150000
Jaws Unleashed,XB,2006,Action,THQ,110000,3000000,0,1000000,150000
Pro Yaky? Spirits 6,PS3,2009,Sports,Konami Digital Entertainment,0,0,150000,0,150000
Star Trek: Voyager Elite Force,PS2,2001,Shooter,Codemasters,7000000,6000000,0,2000000,150000
X-Men: The Official Game,GC,2006,Action,Activision,120000,3000000,0,0,150000
Brain Boost: Gamma Wave,DS,2005,Puzzle,505 Games,140000,0,0,1000000,150000
Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,120000,1000000,0,1000000,150000
Rock Band: Metal Track Pack,X360,2009,Misc,MTV Games,140000,0,0,1000000,150000
Chessmaster II,PS,1998,Strategy,Mindscape,8000000,6000000,0,1000000,150000
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,110000,4000000,0,0,150000
Scooby-Doo! Mystery Mayhem,XB,2004,Action,THQ,110000,3000000,0,1000000,150000
Winning Post 4,PS,1999,Sports,Tecmo Koei,0,0,140000,1000000,150000
Major League Baseball 2K13,PS3,2013,Sports,Take-Two Interactive,140000,0,0,1000000,150000
DreamWorks Super Star Kartz,Wii,2011,Racing,Activision,100000,4000000,0,1000000,150000
Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,0,0,150000,0,150000
187: Ride or Die,PS2,2005,Racing,Ubisoft,7000000,6000000,0,2000000,150000
Curious George,GC,2006,Action,Namco Bandai Games,110000,3000000,0,0,150000
Armored Core: For Answer,X360,2008,Simulation,Ubisoft,6000000,1000000,7000000,1000000,150000
Geist,GC,2005,Adventure,Nintendo,110000,3000000,0,0,150000
Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,8000000,6000000,0,1000000,150000
Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,140000,0,0,1000000,150000
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,110000,4000000,0,0,150000
The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,Role-Playing,D3Publisher,130000,0,0,1000000,150000
Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997,Shooter,Namco Bandai Games,0,0,150000,0,150000
Ridge Racer DS,DS,2004,Racing,Namco Bandai Games,140000,0,0,1000000,150000
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,4000000,5000000,4000000,2000000,150000
Nancy Drew: The White Wolf of Icicle Creek,Wii,2008,Adventure,Sega,140000,0,0,1000000,150000
Super Street Fighter II,GEN,1993,Fighting,Capcom,0,0,150000,0,150000
Metal Gear Solid: Peace Walker HD Edition,PS3,2011,Action,Konami Digital Entertainment,0,0,150000,0,150000
Battle Stadium D.O.N,PS2,2006,Fighting,Namco Bandai Games,0,0,150000,0,150000
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000,Sports,Konami Digital Entertainment,0,0,140000,1000000,150000
Brain Boost: Beta Wave,DS,2005,Puzzle,505 Games,140000,0,0,1000000,150000
Power Pro Kun Pocket 9,DS,2006,Sports,Konami Digital Entertainment,0,0,150000,0,150000
Rubik's World,Wii,2008,Puzzle,Game Factory,130000,1000000,0,1000000,150000
Gallop & Ride!,Wii,2008,Sports,THQ,140000,0,0,1000000,150000
Shenmue II,DC,2001,Adventure,Sega,0,0,150000,0,150000
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,7000000,6000000,0,2000000,150000
Capcom Classics Collection,XB,2005,Misc,Capcom,110000,3000000,0,1000000,150000
Fugitive Hunter: War on Terror,PS2,2003,Shooter,Play It,7000000,6000000,0,2000000,150000
The Incredible Hulk: Ultimate Destruction,GC,2005,Action,Vivendi Games,110000,3000000,0,0,150000
Prince of Persia: The Two Thrones,GC,2005,Action,Ubisoft,110000,3000000,0,0,150000
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011,Adventure,Banpresto,0,0,150000,0,150000
Baseball Blast!,Wii,2009,Sports,Take-Two Interactive,140000,0,0,1000000,150000
Pac-Man World 3,XB,2005,Platform,Namco Bandai Games,110000,4000000,0,1000000,150000
The Walking Dead: Season Two,PSV,2014,Adventure,Telltale Games,100000,0,1000000,3000000,150000
Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,Rising Star Games,7000000,2000000,5000000,2000000,150000
Phantasy Star Online Episode I & II,XB,2003,Role-Playing,Sega,110000,3000000,0,1000000,150000
F1 2012,PC,2012,Racing,Codemasters,1000000,110000,0,3000000,150000
Rayman Raving Rabbids,DS,2007,Misc,Ubisoft,130000,1000000,0,1000000,150000
Kung-Fu: High Impact,X360,2011,Action,Black Bean Games,8000000,6000000,0,1000000,150000
SNK Arcade Classics Vol. 1,PSP,2008,Misc,Ignition Entertainment,130000,0,1000000,1000000,150000
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,Capcom,130000,0,0,1000000,150000
NHL 2K10,X360,2009,Sports,Take-Two Interactive,110000,2000000,0,1000000,150000
Batman Begins,GC,2005,Action,Electronic Arts,110000,3000000,0,0,150000
Toy Story Racer,PS,2001,Racing,Activision,8000000,6000000,0,1000000,150000
Yakuza: Ishin,PS4,2014,Action,Sega,0,0,150000,0,150000
F1 2011,PSV,2011,Racing,Codemasters,3000000,8000000,1000000,3000000,150000
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,Ubisoft,8000000,6000000,0,1000000,150000
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0,0,140000,1000000,150000
Galerians,PS,1999,Adventure,Crave Entertainment,8000000,6000000,0,1000000,150000
Crash: Twinsanity,XB,2004,Platform,Vivendi Games,110000,3000000,0,1000000,150000
DrumMania,PS2,2000,Simulation,Konami Digital Entertainment,0,0,150000,0,150000
Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,Action,Konami Digital Entertainment,150000,0,0,0,150000
Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,Idea Factory,9000000,0,3000000,3000000,150000
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0,0,150000,0,150000
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,8000000,6000000,0,1000000,150000
Arena Football,XB,2006,Sports,Electronic Arts,110000,3000000,0,1000000,150000
Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0,0,150000,0,150000
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,140000,0,150000
Rayman Origins,3DS,2012,Platform,Ubisoft,6000000,8000000,0,1000000,150000
Thor: God of Thunder,X360,2011,Action,Sega,9000000,4000000,0,1000000,150000
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,110000,4000000,0,0,150000
Risen 2: Dark Waters,X360,2012,Role-Playing,Deep Silver,5000000,8000000,0,1000000,150000
Blazing Dragons,PS,1996,Adventure,Crystal Dynamics,8000000,6000000,0,1000000,150000
Geometry Wars: Galaxies,DS,2007,Shooter,Vivendi Games,130000,0,0,1000000,150000
Super Monkey Ball Deluxe,XB,2005,Misc,Sega,110000,3000000,0,1000000,150000
Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,Role-Playing,Atlus,0,0,140000,1000000,150000
Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0,0,150000,0,150000
Alien: Isolation,PC,2014,Shooter,Sega,0,130000,0,1000000,150000
High Velocity Bowling,PS3,2010,Sports,Sony Computer Entertainment,130000,0,0,1000000,150000
Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0,0,150000,0,150000
Pac-Man Party 3D,3DS,2011,Misc,Namco Bandai Games,9000000,4000000,0,1000000,150000
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Wii,2010,Sports,Black Bean Games,120000,2000000,0,1000000,150000
Backyard Sports: Sandlot Sluggers,DS,2010,Sports,Atari,140000,0,0,1000000,150000
Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,8000000,6000000,0,1000000,150000
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,100000,4000000,0,0,150000
Tom Clancy's Ghost Recon,GC,2003,Shooter,Ubisoft,110000,3000000,0,0,150000
Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,8000000,6000000,0,1000000,150000
Bakugan Battle Brawlers: Defenders of the Core,X360,2010,Action,Activision,110000,2000000,0,1000000,150000
Mad Dash Racing,XB,2001,Racing,Eidos Interactive,110000,3000000,0,1000000,150000
Dreamworks 2-in-1 Party Pack,DS,2010,Misc,Activision,140000,0,0,1000000,150000
Summon Night 5,PSP,2013,Role-Playing,Namco Bandai Games,0,0,150000,0,150000
MotoGP 2: Ultimate Racing Technology,PS2,2001,Racing,Sony Computer Entertainment,7000000,6000000,0,2000000,150000
Black * Rock Shooter: The Game,PSP,2011,Role-Playing,Unknown,0,0,150000,0,150000
Travel Games For Dummies,DS,2008,Misc,Electronic Arts,130000,0,0,1000000,150000
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,7000000,6000000,0,2000000,150000
SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,The Adventure Company,7000000,6000000,0,1000000,150000
Tiger Woods PGA Tour,DS,2004,Sports,Electronic Arts,130000,0,0,1000000,150000
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0,0,150000,0,150000
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,Sega,100000,4000000,0,0,150000
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,100000,4000000,0,0,150000
Cars: Mater-National Championship,X360,2007,Racing,THQ,130000,0,0,1000000,150000
Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0,0,150000,0,150000
Drawn to Life Collection,DS,2010,Misc,THQ,140000,0,0,1000000,150000
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,110000,3000000,0,1000000,150000
Wizardry VII: Gadeia no Houshu,PS,1995,Role-Playing,Sony Computer Entertainment,0,0,140000,1000000,150000
Dynasty Warriors 8: Xtreme Legends,PSV,2013,Action,Tecmo Koei,4000000,3000000,5000000,2000000,150000
Moshi Monsters: Katsuma Unleashed,DS,2013,Action,Activision,0,130000,0,2000000,150000
Elf: The Movie,GBA,2004,Action,Crave Entertainment,100000,4000000,0,0,150000
Metal Slug 7,DS,2008,Shooter,Ignition Entertainment,130000,0,1000000,1000000,150000
MLB SlugFest 20-03,GC,2002,Sports,Midway Games,110000,3000000,0,0,150000
Tamagotchi no Appare! Niji Venture,DS,2007,Role-Playing,Namco Bandai Games,0,0,140000,0,140000
Grabbed by the Ghoulies,XB,2003,Action,Microsoft Game Studios,110000,3000000,0,1000000,140000
Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,9000000,0,4000000,1000000,140000
Shadow Hearts: From The New World,PS2,2005,Role-Playing,Ghostlight,7000000,6000000,0,2000000,140000
Mega Man Powered Up,PSP,2006,Platform,Capcom,120000,1000000,0,2000000,140000
CSI: 3 Dimensions of Murder,PS2,2007,Adventure,Ubisoft,7000000,6000000,0,2000000,140000
Barbarian,PS2,2002,Fighting,Titus,7000000,6000000,0,2000000,140000
QuickSpot,DS,2006,Misc,Namco Bandai Games,2000000,0,130000,0,140000
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,3000000,3000000,7000000,2000000,140000
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0,0,140000,0,140000
L.A. Rush,XB,2005,Racing,Midway Games,110000,3000000,0,1000000,140000
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0,0,140000,0,140000
Where the Wild Things Are,DS,2009,Platform,Warner Bros. Interactive Entertainment,130000,0,0,1000000,140000
Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,8000000,5000000,0,1000000,140000
Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0,0,140000,0,140000
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,100000,3000000,0,1000000,140000
Lost Dimension,PSV,2014,Role-Playing,Nippon Ichi Software,7000000,3000000,2000000,3000000,140000
Fox Sports Golf '99,PS,1997,Sports,Gremlin Interactive Ltd,8000000,5000000,0,1000000,140000
Jurassic: The Hunted,PS2,2009,Shooter,Activision,7000000,6000000,0,2000000,140000
Power Rangers: Super Legends,PS2,2007,Action,Disney Interactive Studios,7000000,6000000,0,2000000,140000
Sakura Wars GB,GB,2000,Adventure,Media Factory,0,0,140000,0,140000
Shining Force CD,SCD,1994,Strategy,Sega,0,0,140000,0,140000
Rayman 3,GBA,2003,Platform,Ubisoft,100000,4000000,0,0,140000
Fatal Frame,PS2,2001,Action,Wanadoo,7000000,6000000,0,2000000,140000
The Fifth Element,PS,1998,Action,Sony Computer Entertainment,8000000,5000000,0,1000000,140000
Kung Fu Panda 2,Wii,2011,Action,THQ,8000000,5000000,0,1000000,140000
Fast Food Panic,DS,2010,Simulation,Nobilis,130000,0,0,1000000,140000
Diner Dash: Flo on the Go,DS,2009,Puzzle,Zoo Games,130000,0,0,1000000,140000
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,120000,2000000,0,1000000,140000
Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0,0,140000,0,140000
Wild ARMs 4,PS2,2005,Role-Playing,505 Games,7000000,6000000,0,2000000,140000
Haunted House,Wii,2010,Action,Atari,130000,0,0,1000000,140000
Ratatouille,GC,2007,Action,THQ,110000,3000000,0,0,140000
G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,110000,0,0,3000000,140000
Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,7000000,5000000,0,2000000,140000
Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0,0,140000,0,140000
Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0,0,140000,0,140000
Dream Pinball 3D,Wii,2008,Misc,SouthPeak Games,100000,3000000,0,1000000,140000
Thunder Truck Rally,PS,1997,Racing,Psygnosis,8000000,5000000,0,1000000,140000
Dishonored,XOne,2015,Action,Bethesda Softworks,8000000,5000000,0,1000000,140000
Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,100000,4000000,0,0,140000
G.I. Joe: The Rise of Cobra,PSP,2009,Action,Electronic Arts,110000,2000000,0,2000000,140000
Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,Electronic Arts,0,120000,0,2000000,140000
Balloon Pop,DS,2009,Puzzle,UFO Interactive,130000,0,0,1000000,140000
Disney Infinity 2: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0,110000,0,3000000,140000
Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,8000000,5000000,0,1000000,140000
Asphalt: Urban GT 2,DS,2006,Racing,Ubisoft,9000000,4000000,0,1000000,140000
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,130000,0,0,1000000,140000
Second Sight,PS2,2004,Adventure,Codemasters,7000000,5000000,0,2000000,140000
Spider-Man: Edge of Time,DS,2011,Action,Activision,120000,1000000,0,1000000,140000
Monster House,PS2,2006,Adventure,THQ,7000000,5000000,0,2000000,140000
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,7000000,5000000,0,2000000,140000
Just Cause,X360,2006,Action,Eidos Interactive,100000,3000000,1000000,1000000,140000
ArmA II,PC,2009,Shooter,505 Games,0,120000,0,3000000,140000
Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,8000000,5000000,0,1000000,140000
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0,0,140000,0,140000
Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,Action,Warner Bros. Interactive Entertainment,110000,2000000,0,1000000,140000
Doshin the Giant,GC,2002,Simulation,Nintendo,0,0,140000,0,140000
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,100000,4000000,0,0,140000
Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0,0,140000,0,140000
Mojo!,PS2,2003,Puzzle,Mindscape,7000000,5000000,0,2000000,140000
Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,THQ,130000,0,0,1000000,140000
Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,2000000,100000,0,2000000,140000
Ford Racing Off Road,PSP,2008,Racing,Xplosiv,5000000,8000000,0,2000000,140000
Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0,0,130000,1000000,140000
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0,0,130000,1000000,140000
World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,130000,0,0,1000000,140000
FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,110000,3000000,0,0,140000
Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,9000000,3000000,1000000,1000000,140000
The Orange Box,PC,2007,Shooter,Electronic Arts,0,110000,0,3000000,140000
Super Dodgeball Brawlers,DS,2008,Sports,Arc System Works,130000,0,0,1000000,140000
Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,7000000,0,6000000,1000000,140000
Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,9000000,0,4000000,1000000,140000
SBK 2011: FIM Superbike World Championship,PS3,2011,Racing,Black Bean Games,1000000,100000,0,3000000,140000
Power Stone,DC,1998,Fighting,Eidos Interactive,0,0,140000,0,140000
Jonny Moseley Mad Trix,PS2,2001,Sports,3DO,7000000,5000000,0,2000000,140000
Monster Lab,DS,2008,Role-Playing,Eidos Interactive,120000,1000000,0,1000000,140000
Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0,0,140000,0,140000
Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012,Action,Marvelous Entertainment,0,0,140000,0,140000
MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,Codemasters,7000000,5000000,0,2000000,140000
Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,130000,0,0,1000000,140000
.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,140000,0,140000
Terminator 3: Rise of the Machines,XB,2003,Action,Atari,110000,3000000,0,1000000,140000
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,1000000,100000,0,2000000,140000
SSX On Tour,XB,2005,Sports,Electronic Arts,110000,3000000,0,1000000,140000
NCAA College Basketball 2K3,XB,2002,Sports,Sega,110000,3000000,0,1000000,140000
Class of Heroes,PSP,2008,Role-Playing,Acquire,6000000,0,8000000,1000000,140000
Yogi Bear: The Video Game,DS,2010,Action,D3Publisher,100000,3000000,0,1000000,140000
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,3000000,0,110000,0,140000
Cranium Kabookii,Wii,2007,Misc,Ubisoft,130000,0,0,1000000,140000
Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,130000,0,0,1000000,140000
Doom,GBA,2001,Shooter,Activision,100000,4000000,0,0,140000
Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0,0,140000,0,140000
TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy,6000000,3000000,3000000,2000000,140000
Mary-Kate and Ashley: Winners Circle,PS,2001,Action,Acclaim Entertainment,8000000,5000000,0,1000000,140000
PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,7000000,5000000,0,2000000,140000
Hexyz Force,PSP,2009,Role-Playing,Atlus,7000000,0,6000000,1000000,140000
OutRun 2,XB,2004,Racing,Sega,110000,3000000,0,1000000,140000
Okami,PS3,2012,Action,Capcom,0,0,140000,0,140000
Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,Virgin Interactive,0,0,140000,0,140000
Hitman: Blood Money,XB,2006,Action,Eidos Interactive,110000,3000000,0,1000000,140000
Soukaigi,PS,1998,Role-Playing,SquareSoft,0,0,130000,1000000,140000
Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0,1000000,130000,0,140000
Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,1000000,1000000,110000,1000000,140000
Pipe Mania,PS2,2008,Puzzle,Empire Interactive,7000000,5000000,0,2000000,140000
Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,130000,0,0,1000000,140000
Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,100000,4000000,0,0,140000
PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,9000000,0,4000000,1000000,140000
NFL Blitz 20-03,XB,2002,Sports,Midway Games,110000,3000000,0,1000000,140000
Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Action,Nippon Columbia,0,0,140000,0,140000
Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,7000000,5000000,0,2000000,140000
Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,7000000,5000000,0,2000000,140000
Krull,2600,1982,Action,Atari,130000,1000000,0,0,140000
Yu-Gi-Oh! Monster Capture GB,GB,2000,Role-Playing,Konami Digital Entertainment,0,0,140000,0,140000
Risen,PC,2009,Role-Playing,Deep Silver,0,110000,0,3000000,140000
Top Spin 3,DS,2008,Action,D3Publisher,110000,2000000,0,1000000,140000
Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,100000,4000000,0,0,140000
The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,7000000,5000000,0,2000000,140000
Watch Dogs,WiiU,2014,Action,Ubisoft,8000000,5000000,0,1000000,140000
Mr. Driller: Drill Spirits,DS,2004,Puzzle,Nintendo,8000000,0,5000000,1000000,140000
Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,130000,0,0,1000000,140000
Scooby-Doo! Night of 100 Frights,XB,2003,Platform,THQ,110000,3000000,0,1000000,140000
MX vs. ATV Reflex,DS,2009,Racing,THQ,130000,0,0,1000000,140000
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,7000000,6000000,0,2000000,140000
Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,130000,0,0,1000000,140000
Dead to Rights,GC,2002,Shooter,Electronic Arts,110000,3000000,0,0,140000
Sphinx and the Cursed Mummy,GC,2003,Action,THQ,110000,3000000,0,0,140000
Cabela's Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,7000000,5000000,0,2000000,140000
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,8000000,5000000,0,1000000,140000
Naruto RPG 2: Chidori vs Rasengan,DS,2005,Role-Playing,Tomy Corporation,0,0,140000,0,140000
Destruction Derby Raw,PS,2000,Racing,Sony Computer Entertainment,8000000,5000000,0,1000000,140000
Project V6,PS,1998,Strategy,General Entertainment,0,0,130000,1000000,140000
Farming Simulator 2012,3DS,2012,Action,Excalibur Publishing,0,120000,0,2000000,140000
NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,130000,0,0,1000000,140000
World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,7000000,5000000,0,2000000,140000
Akiba's Trip,PSP,2011,Adventure,Acquire,0,0,140000,0,140000
Bravo Air Race,PS,1997,Racing,THQ,8000000,5000000,0,1000000,140000
Onimusha Essentials,PS2,2008,Action,Capcom,7000000,5000000,0,2000000,140000
Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,110000,2000000,0,1000000,140000
Gundam: The Battle Master,PS,1997,Fighting,Namco Bandai Games,0,0,130000,1000000,140000
Spyro: A Hero's Tail,XB,2004,Platform,Vivendi Games,110000,3000000,0,1000000,140000
¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,140000,0,140000
Just Cause 3,PC,2015,Action,Square Enix,3000000,110000,0,1000000,140000
Eternal Poison,PS2,2008,Role-Playing,Banpresto,7000000,5000000,0,2000000,140000
Lord of the Rings: Tactics,PSP,2005,Strategy,Electronic Arts,110000,2000000,0,2000000,140000
X-Blades,X360,2009,Action,SouthPeak Games,100000,2000000,2000000,1000000,140000
Gretzky NHL 06,PS2,2005,Sports,Sony Computer Entertainment,7000000,5000000,0,2000000,140000
Gungrave: Overdose,PS2,2004,Shooter,Play It,7000000,5000000,0,2000000,140000
Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,Strategy,Namco Bandai Games,0,0,140000,0,140000
How to Train Your Dragon,X360,2010,Action,Activision,110000,2000000,0,1000000,140000
Your Shape: Fitness Evolved 2013,WiiU,2012,Action,Ubisoft,6000000,7000000,0,1000000,140000
My Fitness Coach: Club,PS3,2011,Sports,Ubisoft,0,100000,0,4000000,140000
