brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Parla,Zum,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,No,No,2012  June,Available. Released 2012  Q4,103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),90,3.17,Triple SIM (Mini-SIM),TFT  65K colors,1.8 inches (~21.4% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),32 Mbit ,16 Mbit,VGA,No,Yes,No,No,No,No,,Stereo FM radio,miniUSB,,Removable Li-Ion 700 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg
Philips,S337,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  October,Available. Released 2015  November,144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in),152,5.36,Dual SIM (Mini-SIM| dual stand-by),Capacitive touchscreen  16M colors,5.0 inches (~65.6% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-s337.jpg
Philips,S309,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  July,Available. Released 2015  July,127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in),127,4.48,Dual SIM (Mini-SIM| dual stand-by),Capacitive touchscreen  16M colors,4.0 inches (~55.2% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 5.1 (Lollipop),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1600 mAh battery,Black| Red,,http://cdn2.gsmarena.com/vv/bigpic/philips-s309.jpg
Philips,V377,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 42.2/11.5 Mbps,Yes,Yes,2015  December,Available. Released 2015  December,145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in),190,6.70,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.2% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Li-Ion 5000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-v377.jpg
Philips,V787,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015  December,Available. Released 2015  December,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164,5.78,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.3% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 5000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-v787.jpg
Philips,S616,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015  November,Available. Released 2015  November,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164,5.78,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~81.4% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz,,,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 3000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-s616.jpg
Philips,I928,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/11.5 Mbps,Yes,Yes,2015  September,Available. Released 2015  September,160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in),168,5.93,Dual SIM,IPS LCD capacitive touchscreen  16M colors,6.0 inches (~75.8% screen-to-body ratio),1080 x 1920 pixels (~367 ppi pixel density),Android 4.4 (KitKat),Octa-core 1.7 GHz,,,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,3.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 3000 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/philips-i928.jpg
Philips,V526,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  August,Available. Released 2015  August,145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in),189,6.67,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz,,,microSD  up to 64 GB (dedicated slot),8 GB,1 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 5000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-v526-.jpg
Philips,I908,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/11.5 Mbps,Yes,Yes,2015  August,Available. Released 2015  August,143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in),156,5.50,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.9% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.7 GHz,,,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.2| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.1| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 3000 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/philips-i908.jpg
Philips,S396,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  June,Available. Released 2015  June,141.9 x 73 x 9.7 mm (5.59 x 2.87 x 0.38 in),151,5.33,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mediatek MT6735P,Mali-T720MP2,microSD  up to 64 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 2300 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-s396.jpg
Philips,S388,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2014  Q3,Available. Released 2014  Q3,131 x 67.1 x 9.1 mm (5.16 x 2.64 x 0.36 in),136.5,4.83,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~63.5% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),,,5 MP| autofocus| LED flash,No,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1700 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-s388.jpg
Philips,S308,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Class 12,Yes,2014  May,Available. Released 2014  May,126 x 64.5 x 9.7 mm (4.96 x 2.54 x 0.38 in),125,4.41,Dual SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~56.0% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| LED flash,No,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 1400 mAh battery,Black| Black/Red| Black/White| Black/Yellow| Black/Gray,130,http://cdn2.gsmarena.com/vv/bigpic/philips-s308.jpg
Philips,W6610,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Class 12,Yes,2014  May,Available. Released 2014  May,145.4 x 74.1 x 11.4 mm (5.72 x 2.92 x 0.45 in),200,7.05,Dual SIM| (Mini-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.0% screen-to-body ratio),540 x 960 pixels (~220 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,1.2 MP,Yes,Yes,Yes| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 5300 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-w6610.jpg
Philips,W8578,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 3.6/0.384 Mbps,Class 12,Yes,2014  April,Available. Released 2014  April,116 x 60 x 21 mm (4.57 x 2.36 x 0.83 in),217,7.65,Dual SIM,TFT capacitive touchscreen  256K colors,3.5 inches (~50.1% screen-to-body ratio),480 x 800 pixels (~267 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,5 MP| LED flash,No,Yes,Yes,Yes,2.1| EDR,No,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 2000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-w8578.jpg
Philips,W3500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Class 12,Yes,2013  December,Available. Released 2013  December,142 x 73.6 x 9.7 mm (5.59 x 2.90 x 0.38 in),170,6.00,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,5.0 inches (~65.9% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),,1 GB RAM,5 MP| LED flash,No,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 2200 mAh battery,Black,170,http://cdn2.gsmarena.com/vv/bigpic/philips-w3500.jpg
Philips,W8555,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Class 12,Yes,2013  November,Available. Released 2013  November,-,200,7.05,Dual SIM| (Dual stand-by),TFT capacitive touchscreen  16M colors,5.0 inches,1080 x 1920 pixels (~441 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.5 GHz,,,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS GLONASS,Yes (MasterCard PayPass ready),No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 3300 mAh battery,Black,340,http://cdn2.gsmarena.com/vv/bigpic/philips-w8555.jpg
Philips,W7555,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Yes,2013  December,Available. Released 2013  December,136.8 x 68.5 x 13.1 mm (5.39 x 2.70 x 0.52 in),154,5.43,Dual SIM| (Dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~59.6% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.1 (Jelly Bean),Quad-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,Yes,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,3.0| A2DP,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2400 mAh battery,Black/Red,220,http://cdn2.gsmarena.com/vv/bigpic/Philips-Xenium-W7555.jpg
Philips,W9588,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - SIM 1,,HSPA 21.1/11.5 Mbps,Class 12,Yes,2013  December,Available. Released 2013  December,116.5 x 61.5 x 20.5 mm (4.59 x 2.42 x 0.81 in),246.8,8.71,Dual SIM,IPS LCD capacitive touchscreen  256K colors,3.5 inches (~48.7% screen-to-body ratio),480 x 800 pixels (~267 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot)  4 GB included,4 GB,1 GB RAM,8 MP| autofocus| LED flash,1 MP,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2400 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-w9588.jpg
Philips,W8568,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA 21.1/11.5 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,123.5 x 63 x 18.8 mm (4.86 x 2.48 x 0.74 in),214,7.55,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.0 inches (~56.7% screen-to-body ratio),540 x 960 pixels (~275 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,No,Yes,Yes,Yes| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2100 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-w8568.jpg
Philips,W8500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,132 x 71 x 12.3 mm (5.20 x 2.80 x 0.48 in),172,6.07,Dual SIM| (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.3 inches (~54.4% screen-to-body ratio),540 x 960 pixels (~256 ppi pixel density),Android 4.1 (Jelly Bean),Dual-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,,8 MP| autofocus| LED flash,No,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2400 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/philips-w8500.jpg
Philips,W6500,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 42.2/5.76 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,128.7 x 66 x 11.8 mm (5.07 x 2.60 x 0.46 in),150.8,5.29,Dual SIM| (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.3 inches (~60.0% screen-to-body ratio),540 x 960 pixels (~256 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,,5 MP| autofocus| LED flash,No,Yes,Yes,Yes| hotspot,4.0| A2DP| EDR| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2400 mAh battery,Yellow,,http://cdn2.gsmarena.com/vv/bigpic/philips-w6500.jpg
Philips,W3568,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,126.8 x 68 x 12 mm (4.99 x 2.68 x 0.47 in),137,4.83,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,4.0 inches (~52.8% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3.15 MP| LED flash,Yes,Yes,Yes,Yes| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black/Gray,,http://cdn2.gsmarena.com/vv/bigpic/philips-w3568.jpg
Philips,T3566,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA,,HSPA,Class 12,Yes,2013  October,Available. Released 2013  October,126.8 x 68 x 12 mm (4.99 x 2.68 x 0.47 in),137,4.83,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.0 inches (~52.8% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),,256 MB RAM,2 MP,No,Yes,Yes,Yes| hotspot,2.1| A2DP| EDR,No,,No,2.0,Accelerometer,Removable Li-Ion 2000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-t3566.jpg
Philips,W7376,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,129 x 66.7 x 9.9 mm (5.08 x 2.63 x 0.39 in),172,6.07,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.3 inches (~59.2% screen-to-body ratio),540 x 960 pixels (~256 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.2 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,,5 MP| autofocus| LED flash,Yes,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 2400 mAh battery,Black/Silver,,http://cdn2.gsmarena.com/vv/bigpic/philips-w7376.jpg
Philips,X1560,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 12,No,2013  October,Available. Released 2013  October,119.6 x 51.1 x 16.3 mm (4.71 x 2.01 x 0.64 in),122,4.30,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~29.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,,,Yes,TBD,No,2.1| A2DP,No,,FM radio,microUSB,,Removable Li-Ion 2900 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-x1560.jpg
Philips,X2560,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 12,No,2013  October,Available. Released 2013  October,124.5 x 64.9 x 16 mm (4.90 x 2.56 x 0.63 in),108.8,3.81,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~22.1% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),,,VGA,No,Yes,No,No,2.1| A2DP,No,,FM radio,miniUSB,,Removable Li-Ion 1630 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-x2560.jpg
Philips,X2301,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 10,No,2013  October,Available. Released 2013  October,134 x 56 x 14.8 mm (5.28 x 2.20 x 0.58 in),104,3.67,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches| - (~23.8% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),,,VGA,No,Yes,Yes,No,2.0,No,,FM radio,miniUSB,,Removable Li-Ion 1530 mAh battery,Gray,,http://cdn2.gsmarena.com/vv/bigpic/philips-x2301-1.jpg
Philips,X2300,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,,,,Class 12,No,2013  October,Available. Released 2013  October,119.6 x 50.5 x 15.7 mm (4.71 x 1.99 x 0.62 in),110,3.88,Triple SIM (Mini-SIM),TFT  256K colors,2.4 inches (~29.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,2 MP| LED flash,No,Yes,Yes,No,2.1| A2DP,No,,FM radio,microUSB 2.0,,Removable Li-Ion 2000 mAh battery,Dark gray,,http://cdn2.gsmarena.com/vv/bigpic/philips-x2300-1.jpg
Philips,X1510,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 12,No,2013  October,Available. Released 2013  October,109 x 46 x 15.8 mm (4.29 x 1.81 x 0.62 in),78,2.75,Dual SIM (Mini-SIM),TFT,2.0 inches (~25.1% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,,,Yes,No,No,2.1| A2DP,No,,FM radio,microUSB 2.0,,Removable Li-Ion 1050 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-x1510-1.jpg
Philips,E1500,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,2013  October,Available. Released 2013  October,107 x 46 x 15 mm (4.21 x 1.81 x 0.59 in),70,2.47,Dual SIM (Mini-SIM),TFT,1.77 inches (~20.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,,,Yes,Yes,No,2.1| A2DP,No,,FM radio,microUSB,,Removable Li-Ion 800 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-e1500-1.jpg
Philips,D833,GSM / CDMA / EVDO,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA2000 1xEV-DO ,,EV-DO Rev.A 3.1 Mbps,Yes,Yes,2013  October,Available. Released 2013  October,128 x 67.3 x 12.1 mm (5.04 x 2.65 x 0.48 in),163,5.75,Dual SIM (Dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.3 inches (~61.1% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB,,5 MP| autofocus| LED flash,No,Yes,Yes,Yes| hotspot,3.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2400 mAh battery,Black/Gray,,http://cdn2.gsmarena.com/vv/bigpic/philips-d833-1.jpg
Philips,W8560,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/11.5 Mbps,Class 12,Yes,2013  September,Available. Released 2013  October,144 x 73 x 10 mm (5.67 x 2.87 x 0.39 in),158,5.57,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,5.0 inches (~65.6% screen-to-body ratio),1080 x 1920 pixels (~441 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.5 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),32 GB,2 GB RAM,13 MP| autofocus| LED flash,1.3 MP,Yes,Yes,Yes| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 3300 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-w8560.jpg
Philips,W8510,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 42.2/5.76 Mbps,Class 12,Yes,2013  October,Available. Released 2013  October,138.5 x 69.7 x 10.4 mm (5.45 x 2.74 x 0.41 in),173,6.10,Dual SIM (Mini-SIM| dual stand-by| dual active),TFT capacitive touchscreen  16M colors,4.7 inches (~63.1% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,,8 MP| autofocus| LED flash,Yes,Yes,Yes,Yes| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 3300 mAh battery,Gray,,http://cdn2.gsmarena.com/vv/bigpic/philips-w8510.jpg
